Test no, Test Name, Learner, Trainer, C_0, C_1, C_2, C_3, C_4, Value selected , Correction , Date, Answering Time (ms), Other Parameters,,,,,,,,,,,,
14, flower, Lula, Lizandro,4,1,,,,4,true, [2023-09-26 09:06(26.568)],959, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
15, flower, Lula, Lizandro,2,8,,,,8,true, [2023-09-26 09:06(28.304)],734, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
16, flower, Lula, Lizandro,6,7,,,,7,true, [2023-09-26 09:06(30.184)],871, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
17, flower, Lula, Lizandro,8,6,,,,8,true, [2023-09-26 09:06(32.240)],1052, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
18, flower, Lula, Lizandro,7,3,,,,7,true, [2023-09-26 09:06(34.344)],1103, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
19, flower, Lula, Lizandro,5,8,,,,8,true, [2023-09-26 09:06(35.992)],646, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
20, flower, Lula, Lizandro,1,2,,,,2,true, [2023-09-26 09:06(37.832)],829, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
21, flower, Lula, Lizandro,8,2,,,,8,true, [2023-09-26 09:06(39.680)],743, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
22, flower, Lula, Lizandro,4,7,,,,7,true, [2023-09-26 09:06(41.440)],758, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
23, flower, Lula, Lizandro,1,2,,,,2,true, [2023-09-26 09:06(43.376)],934, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
24, flower, Lula, Lizandro,6,7,,,,7,true, [2023-09-26 09:06(46.48)],1670, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
25, flower, Lula, Lizandro,0,8,,,,8,true, [2023-09-26 09:06(47.912)],862, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
26, flower, Lula, Lizandro,9,1,,,,9,true, [2023-09-26 09:06(49.768)],854, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
27, flower, Lula, Lizandro,3,7,,,,7,true, [2023-09-26 09:06(51.648)],878, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
28, flower, Lula, Lizandro,2,7,,,,7,true, [2023-09-26 09:06(53.536)],886, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
29, flower, Lula, Lizandro,5,7,,,,7,true, [2023-09-26 09:06(55.368)],818, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
30, flower, Lula, Lizandro,7,1,,,,7,true, [2023-09-26 09:06(57.312)],931, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
31, flower, Lula, Lizandro,3,5,,,,5,true, [2023-09-26 09:06(59.600)],752, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
32, flower, Lula, Lizandro,2,4,,,,4,true, [2023-09-26 09:07(01.248)],639, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
33, flower, Lula, Lizandro,4,9,,,,9,true, [2023-09-26 09:07(02.840)],590, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
34, flower, Lula, Lizandro,8,6,,,,8,true, [2023-09-26 09:07(05.48)],1201, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
35, flower, Lula, Lizandro,5,0,,,,5,true, [2023-09-26 09:07(06.784)],734, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
36, flower, Lula, Lizandro,3,1,,,,3,true, [2023-09-26 09:07(08.744)],957, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
37, flower, Lula, Lizandro,3,8,,,,8,true, [2023-09-26 09:07(10.736)],988, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
38, flower, Lula, Lizandro,5,0,,,,5,true, [2023-09-26 09:07(12.784)],1040, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
39, flower, Lula, Lizandro,0,7,,,,7,true, [2023-09-26 09:07(14.536)],749, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
40, flower, Lula, Lizandro,9,0,,,,9,true, [2023-09-26 09:07(16.120)],580, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
41, flower, Lula, Lizandro,9,1,,,,9,true, [2023-09-26 09:07(18.192)],832, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
42, flower, Lula, Lizandro,4,6,,,,6,true, [2023-09-26 09:07(19.992)],798, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
43, flower, Lula, Lizandro,5,6,,,,6,true, [2023-09-26 09:07(22.992)],1996, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
44, flower, Lula, Lizandro,2,0,,,,2,true, [2023-09-26 09:07(25.176)],1182, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
45, flower, Lula, Lizandro,7,2,,,,7,true, [2023-09-26 09:07(26.936)],757, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
46, flower, Lula, Lizandro,3,9,,,,9,true, [2023-09-26 09:07(28.744)],806, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
47, flower, Lula, Lizandro,4,1,,,,4,true, [2023-09-26 09:07(30.312)],566, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
48, flower, Lula, Lizandro,6,7,,,,7,true, [2023-09-26 09:07(32.200)],882, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
49, flower, Lula, Lizandro,5,7,,,,7,true, [2023-09-26 09:07(34.400)],1196, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
50, flower, Lula, Lizandro,1,3,,,,3,true, [2023-09-26 09:07(36.176)],772, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
51, flower, Lula, Lizandro,7,1,,,,7,true, [2023-09-26 09:07(38.40)],848, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
52, flower, Lula, Lizandro,2,8,,,,8,true, [2023-09-26 09:07(39.784)],731, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
53, flower, Lula, Lizandro,5,2,,,,5,true, [2023-09-26 09:07(41.744)],949, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
54, flower, Lula, Lizandro,5,7,,,,7,true, [2023-09-26 09:07(43.448)],702, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
55, flower, Lula, Lizandro,8,1,,,,8,true, [2023-09-26 09:07(45.64)],614, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
56, flower, Lula, Lizandro,6,9,,,,9,true, [2023-09-26 09:07(46.728)],662, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
57, flower, Lula, Lizandro,2,5,,,,5,true, [2023-09-26 09:07(48.552)],807, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
58, flower, Lula, Lizandro,5,2,,,,5,true, [2023-09-26 09:07(50.584)],1030, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
59, flower, Lula, Lizandro,6,1,,,,6,true, [2023-09-26 09:07(52.600)],1014, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
60, flower, Lula, Lizandro,5,4,,,,5,true, [2023-09-26 09:07(54.664)],1052, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
61, flower, Lula, Lizandro,5,0,,,,5,true, [2023-09-26 09:07(56.344)],656, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
62, flower, Lula, Lizandro,1,7,,,,7,true, [2023-09-26 09:07(57.976)],628, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
63, flower, Lula, Lizandro,1,3,,,,3,true, [2023-09-26 09:07(59.608)],625, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
64, flower, Lula, Lizandro,3,7,,,,7,true, [2023-09-26 09:08(01.192)],575, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
65, flower, Lula, Lizandro,0,4,,,,4,true, [2023-09-26 09:08(02.792)],584, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
66, flower, Lula, Lizandro,7,5,,,,7,true, [2023-09-26 09:08(04.848)],1053, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
67, flower, Lula, Lizandro,2,8,,,,8,true, [2023-09-26 09:08(06.520)],670, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
68, flower, Lula, Lizandro,6,0,,,,6,true, [2023-09-26 09:08(08.168)],634, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
69, flower, Lula, Lizandro,2,8,,,,8,true, [2023-09-26 09:08(09.880)],710, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
70, flower, Lula, Lizandro,6,5,,,,6,true, [2023-09-26 09:08(11.688)],806, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
71, flower, Lula, Lizandro,4,6,,,,6,true, [2023-09-26 09:08(13.504)],784, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
72, flower, Lula, Lizandro,3,6,,,,6,true, [2023-09-26 09:08(15.360)],854, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
73, flower, Lula, Lizandro,2,8,,,,8,true, [2023-09-26 09:08(16.968)],606, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
74, flower, Lula, Lizandro,7,0,,,,7,true, [2023-09-26 09:08(19.40)],1070, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
75, flower, Lula, Lizandro,0,5,,,,5,true, [2023-09-26 09:08(20.848)],799, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
76, flower, Lula, Lizandro,2,6,,,,6,true, [2023-09-26 09:08(22.712)],862, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
77, flower, Lula, Lizandro,8,4,,,,8,true, [2023-09-26 09:08(24.448)],734, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
78, flower, Lula, Lizandro,6,4,,,,6,true, [2023-09-26 09:08(26.352)],902, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
79, flower, Lula, Lizandro,9,2,,,,9,true, [2023-09-26 09:08(28.176)],822, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
80, flower, Lula, Lizandro,3,1,,,,3,true, [2023-09-26 09:08(30.192)],1000, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
81, flower, Lula, Lizandro,6,5,,,,6,true, [2023-09-26 09:08(34.232)],1376, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
82, flower, Lula, Lizandro,1,7,,,,7,true, [2023-09-26 09:08(35.944)],709, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
83, flower, Lula, Lizandro,5,2,,,,5,true, [2023-09-26 09:08(37.608)],662, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
84, flower, Lula, Lizandro,7,4,,,,7,true, [2023-09-26 09:08(39.416)],793, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
85, flower, Lula, Lizandro,6,4,,,,6,true, [2023-09-26 09:08(41.200)],782, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
86, flower, Lula, Lizandro,0,6,,,,6,true, [2023-09-26 09:08(43.48)],841, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
87, flower, Lula, Lizandro,8,6,,,,8,true, [2023-09-26 09:08(44.704)],654, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
88, flower, Lula, Lizandro,4,9,,,,9,true, [2023-09-26 09:08(46.408)],702, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
89, flower, Lula, Lizandro,7,2,,,,7,true, [2023-09-26 09:08(48.24)],614, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
90, flower, Lula, Lizandro,0,7,,,,7,true, [2023-09-26 09:08(51.376)],2350, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
91, dice, Lula, Lizandro,7,1,,,,7,true, [2023-09-26 09:08(59.912)],1191, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
92, dice, Lula, Lizandro,6,8,,,,8,true, [2023-09-26 09:09(13.856)],2920, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
93, dice, Lula, Lizandro,9,6,,,,9,true, [2023-09-26 09:09(15.832)],973, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
94, dice, Lula, Lizandro,0,5,,,,5,true, [2023-09-26 09:09(17.536)],702, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
95, dice, Lula, Lizandro,6,7,,,,7,true, [2023-09-26 09:09(19.752)],1215, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
96, dice, Lula, Lizandro,7,3,,,,7,true, [2023-09-26 09:09(21.368)],614, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
97, dice, Lula, Lizandro,1,2,,,,2,true, [2023-09-26 09:09(23.128)],758, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
98, dice, Lula, Lizandro,7,3,,,,7,true, [2023-09-26 09:09(24.784)],654, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
99, dice, Lula, Lizandro,1,0,,,,1,true, [2023-09-26 09:09(26.512)],726, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
100, dice, Lula, Lizandro,0,7,,,,7,true, [2023-09-26 09:09(28.352)],829, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
101, dice, Lula, Lizandro,1,6,,,,6,true, [2023-09-26 09:09(30.40)],686, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
102, dice, Lula, Lizandro,4,8,,,,8,true, [2023-09-26 09:09(32.312)],824, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
103, dice, Lula, Lizandro,1,8,,,,8,true, [2023-09-26 09:09(33.936)],615, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
104, dice, Lula, Lizandro,5,0,,,,5,true, [2023-09-26 09:09(35.608)],671, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
105, dice, Lula, Lizandro,0,5,,,,5,true, [2023-09-26 09:09(37.264)],654, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
106, dice, Lula, Lizandro,4,7,,,,7,true, [2023-09-26 09:09(39.8)],742, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
107, dice, Lula, Lizandro,0,9,,,,9,true, [2023-09-26 09:09(40.640)],625, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
108, dice, Lula, Lizandro,6,9,,,,9,true, [2023-09-26 09:09(42.416)],765, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
109, dice, Lula, Lizandro,2,5,,,,5,true, [2023-09-26 09:09(44.48)],617, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
110, dice, Lula, Lizandro,7,6,,,,7,true, [2023-09-26 09:09(46.104)],1054, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
111, dice, Lula, Lizandro,4,8,,,,8,true, [2023-09-26 09:09(47.672)],566, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
112, dice, Lula, Lizandro,9,3,,,,9,true, [2023-09-26 09:09(49.440)],736, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
113, dice, Lula, Lizandro,2,1,,,,2,true, [2023-09-26 09:09(51.72)],620, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
114, dice, Lula, Lizandro,1,8,,,,8,true, [2023-09-26 09:09(52.808)],733, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
115, dice, Lula, Lizandro,7,5,,,,7,true, [2023-09-26 09:09(54.392)],582, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
116, dice, Lula, Lizandro,0,8,,,,8,true, [2023-09-26 09:09(56.224)],816, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
117, dice, Lula, Lizandro,6,5,,,,6,true, [2023-09-26 09:09(58.362)],1136, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
118, dice, Lula, Lizandro,7,9,,,,9,true, [2023-09-26 09:10(00.241)],877, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
119, dice, Lula, Lizandro,4,8,,,,8,true, [2023-09-26 09:10(01.849)],606, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
120, dice, Lula, Lizandro,6,2,,,,6,true, [2023-09-26 09:10(03.577)],726, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
121, dice, Lula, Lizandro,9,3,,,,9,true, [2023-09-26 09:10(05.305)],719, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
122, dice, Lula, Lizandro,8,2,,,,8,true, [2023-09-26 09:10(07.257)],680, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
123, dice, Lula, Lizandro,1,4,,,,4,true, [2023-09-26 09:10(09.81)],821, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
124, dice, Lula, Lizandro,5,7,,,,7,true, [2023-09-26 09:10(10.849)],766, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
125, dice, Lula, Lizandro,9,3,,,,9,true, [2023-09-26 09:10(12.649)],798, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
126, dice, Lula, Lizandro,0,3,,,,3,true, [2023-09-26 09:10(14.201)],550, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
127, dice, Lula, Lizandro,6,7,,,,7,true, [2023-09-26 09:10(16.273)],1055, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
128, dice, Lula, Lizandro,6,1,,,,6,true, [2023-09-26 09:10(18.113)],837, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
129, dice, Lula, Lizandro,1,5,,,,5,true, [2023-09-26 09:10(19.809)],694, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
130, dice, Lula, Lizandro,5,3,,,,5,true, [2023-09-26 09:10(21.577)],759, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
131, dice, Lula, Lizandro,4,5,,,,5,true, [2023-09-26 09:10(23.385)],806, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
132, dice, Lula, Lizandro,4,8,,,,8,true, [2023-09-26 09:10(25.113)],656, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
133, dice, Lula, Lizandro,4,2,,,,4,true, [2023-09-26 09:10(26.865)],736, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
134, dice, Lula, Lizandro,1,8,,,,8,true, [2023-09-26 09:10(28.473)],605, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
135, dice, Lula, Lizandro,6,7,,,,7,true, [2023-09-26 09:10(30.281)],796, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
136, dice, Lula, Lizandro,5,4,,,,5,true, [2023-09-26 09:10(32.329)],1046, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
137, dice, Lula, Lizandro,0,6,,,,6,true, [2023-09-26 09:10(33.897)],561, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
138, dice, Lula, Lizandro,7,0,,,,7,true, [2023-09-26 09:10(35.617)],711, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
139, dice, Lula, Lizandro,9,6,,,,9,true, [2023-09-26 09:10(37.361)],735, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
140, dice, Lula, Lizandro,1,9,,,,9,true, [2023-09-26 09:10(38.953)],585, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
141, dice, Lula, Lizandro,5,0,,,,5,true, [2023-09-26 09:10(40.513)],557, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
142, dice, Lula, Lizandro,8,5,,,,8,true, [2023-09-26 09:10(42.577)],944, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
143, dice, Lula, Lizandro,5,6,,,,6,true, [2023-09-26 09:10(44.665)],1086, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
144, dice, Lula, Lizandro,1,3,,,,3,true, [2023-09-26 09:10(46.353)],681, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
145, dice, Lula, Lizandro,0,5,,,,5,true, [2023-09-26 09:10(48.17)],651, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
146, dice, Lula, Lizandro,8,6,,,,8,true, [2023-09-26 09:10(49.785)],757, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
147, dice, Lula, Lizandro,5,4,,,,5,true, [2023-09-26 09:10(51.569)],781, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
148, dice, Lula, Lizandro,7,6,,,,7,true, [2023-09-26 09:10(53.393)],814, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
149, dice, Lula, Lizandro,0,1,,,,1,true, [2023-09-26 09:10(55.25)],619, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
150, dice, Lula, Lizandro,6,3,,,,6,true, [2023-09-26 09:10(56.577)],542, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
151, dice, Lula, Lizandro,0,9,,,,9,true, [2023-09-26 09:10(58.185)],606, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
152, dice, Lula, Lizandro,1,2,,,,2,true, [2023-09-26 09:11(00.313)],968, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
153, dice, Lula, Lizandro,9,8,,,,9,true, [2023-09-26 09:11(02.81)],765, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
154, dice, Lula, Lizandro,2,3,,,,3,true, [2023-09-26 09:11(03.865)],767, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
155, dice, Lula, Lizandro,1,7,,,,7,true, [2023-09-26 09:11(05.417)],550, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
156, dice, Lula, Lizandro,9,7,,,,9,true, [2023-09-26 09:11(07.65)],634, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
157, dice, Lula, Lizandro,1,5,,,,5,true, [2023-09-26 09:11(08.601)],522, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
158, dice, Lula, Lizandro,9,4,,,,9,true, [2023-09-26 09:11(10.145)],534, background black, foreground green, bg opacity .2, Value Set [0,1,2,3,4,5,6,7,8,9]
